timestamp,recording,method,ica1_pca_n_components,ica1_maternal_ic_index,path_a_selected_ic_index,path_a_selected_ic_peak_count,path_a_selected_ic_hr_bpm,path_a_selected_ic_is_valid,path_a_selected_ic_stability,path_a_selected_ic_score,ica2_pca_n_components,ica2_excluded_maternal_residual_ic_index,path_b_selected_ic_index,path_b_selected_ic_peak_count,path_b_selected_ic_hr_bpm,path_b_selected_ic_is_valid,path_b_selected_ic_stability,path_b_selected_ic_score,chosen_path_description,chosen_ic_index,chosen_ic_hr_bpm,chosen_ic_peak_count,chosen_ic_selection_score,chosen_ic_stability,low_confidence,confidence_gate_threshold,harmonic_confusion,sparse_annotation,ekf_used,final_peak_count,final_hr_bpm
20260625_114019,r01,PHASE_adfecgdb_metadata,3.0,2.0,1.0,621.0,126.8843,1.0,0.4,0.6291,4.0,3.0,1.0,605.0,124.8215,1.0,0.6,0.6996,B_WSVD_ICA2_IC2_125bpm,1.0,124.8215,605.0,0.6996,0.6,0.0,0.05,0.0,0.0,1.0,604.0,124.7766
20260625_114019,r04,PHASE_adfecgdb_metadata,3.0,2.0,0.0,546.0,123.0285,1.0,0.4001,0.2737,3.0,0.0,2.0,565.0,119.9442,1.0,0.4001,0.4467,B_WSVD_ICA2_IC3_120bpm,2.0,119.9442,565.0,0.4467,0.4001,0.0,0.05,0.0,0.0,1.0,565.0,119.9432
20260625_114019,r07,PHASE_adfecgdb_metadata,3.0,2.0,0.0,565.0,124.7873,1.0,0.4001,0.2407,3.0,0.0,1.0,595.0,122.1592,1.0,0.6002,0.6176,B_WSVD_ICA2_IC2_122bpm,1.0,122.1592,595.0,0.6176,0.6002,0.0,0.05,0.0,0.0,1.0,595.0,122.1592
20260625_114019,r08,PHASE_adfecgdb_metadata,3.0,2.0,1.0,650.0,130.6931,1.0,0.6,0.8257,3.0,0.0,2.0,645.0,130.0105,1.0,1.0,0.6699,B_WSVD_ICA2_IC3_130bpm,2.0,130.0105,645.0,0.6699,1.0,0.0,0.05,0.0,0.0,1.0,645.0,130.0101
20260625_114019,r10,PHASE_adfecgdb_metadata,3.0,2.0,0.0,478.0,111.8241,1.0,1.0,0.3484,3.0,2.0,0.0,585.0,124.4752,1.0,0.6,0.7951,B_WSVD_ICA2_IC1_124bpm,0.0,124.4752,585.0,0.7951,0.6,0.0,0.05,0.0,0.0,1.0,585.0,124.4747
